var,value,estimate,p.value,conf.low,conf.high,rx_0,rx_1
All people, ,1.67,0.00,1.32,2.11,304,305
adhere,NA,NA,NA,NA,NA,NA,NA
adhere,No,1.69,0.00,1.31,2.18,265,268
adhere,Yes,1.50,0.17,0.84,2.67,39,47
age,NA,NA,NA,NA,NA,NA,NA
age,>65,1.97,0.00,1.33,2.93,114,110
age,<=65,1.52,0.00,1.14,2.03,190,205
differ,NA,NA,NA,NA,NA,NA,NA
differ,well,2.68,0.02,1.19,6.02,29,27
differ,moderate,1.67,0.00,1.26,2.21,215,229
differ,poor,1.32,0.28,0.80,2.19,54,52
extent,NA,NA,NA,NA,NA,NA,NA
extent,submucosa,0.00,1.00,0.00,Inf,10,8
extent,muscle,2.41,0.07,0.93,6.22,32,38
extent,serosa,1.68,0.00,1.31,2.16,251,249
extent,contiguous,1.44,0.46,0.55,3.75,11,20
